City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,atuona,-9.8,-139.0333,79.02,76,21,17.02,PF,2023-02-08 05:25:42
69,tamandare,-8.7597,-35.1047,75.61,76,95,4.54,BR,2023-02-08 05:25:43
70,kodiak,57.79,-152.4072,22.51,63,0,14.97,US,2023-02-08 05:25:43
71,chipinge,-20.1883,32.6236,68.23,74,90,2.15,ZW,2023-02-08 05:25:44
72,gasa,31.5,34.4667,46.89,54,86,22.64,PS,2023-02-08 05:25:44
73,muros,42.7762,-9.0603,42.1,79,24,15.39,ES,2023-02-08 05:25:44
74,tessalit,20.1986,1.0114,65.75,15,63,9.1,ML,2023-02-08 05:25:45
75,port alfred,-33.5906,26.891,69.19,86,100,4.0,ZA,2023-02-08 05:21:30
76,samoded,63.6083,40.5111,31.69,94,100,8.66,RU,2023-02-08 05:25:45
77,broken hill,-31.95,141.4333,89.53,13,0,12.21,AU,2023-02-08 05:25:45
78,el cobre,20.0489,-75.9469,72.84,78,20,8.05,CU,2023-02-08 05:25:45
79,bollnas,61.3482,16.3946,33.69,92,90,5.44,SE,2023-02-08 05:25:46
80,puerto carreno,6.189,-67.4859,78.85,60,11,5.01,CO,2023-02-08 05:25:46
81,matay,28.419,30.7792,47.32,59,100,2.93,EG,2023-02-08 05:25:46
82,yellowknife,62.456,-114.3525,-3.44,77,100,6.91,CA,2023-02-08 05:20:54
83,thompson,55.7435,-97.8558,1.56,85,75,0.0,CA,2023-02-08 05:25:47
84,andenes,69.3143,16.1194,40.98,70,20,36.82,NO,2023-02-08 05:25:47
85,dzilam gonzalez,21.2833,-88.9333,72.28,85,2,6.44,MX,2023-02-08 05:25:47
86,cape town,-33.9258,18.4232,70.92,74,20,14.0,ZA,2023-02-08 05:25:48
87,rundu,-17.9333,19.7667,64.49,94,100,3.47,NA,2023-02-08 05:25:48
88,avarua,-21.2078,-159.775,80.65,83,56,8.05,CK,2023-02-08 05:25:48
89,linfen,36.0889,111.5189,49.03,42,100,8.61,CN,2023-02-08 05:25:48
90,college,64.8569,-147.8028,6.78,81,100,3.44,US,2023-02-08 05:25:49
91,barrow,71.2906,-156.7887,-3.98,77,100,6.91,US,2023-02-08 05:25:49
92,ponta do sol,32.6667,-17.1,58.01,64,33,7.38,PT,2023-02-08 05:25:49
93,tual,-5.6667,132.75,82.83,73,97,21.81,ID,2023-02-08 05:25:50
94,andalan,5.9594,121.3903,79.83,74,97,10.13,PH,2023-02-08 05:25:50
95,santa cruz,-17.8,-63.1667,72.86,94,75,5.75,BO,2023-02-08 05:25:50
96,santa maria,-29.6842,-53.8069,68.54,67,0,5.77,BR,2023-02-08 05:25:50
97,evensk,61.95,159.2333,-18.44,78,48,7.36,RU,2023-02-08 05:25:51
98,lind,56.1,8.9833,37.22,95,82,9.28,DK,2023-02-08 05:25:51
99,dikson,73.5069,80.5464,-4.22,89,100,22.24,RU,2023-02-08 05:25:51
100,chesma,53.8111,60.6533,-4.14,100,100,4.83,RU,2023-02-08 05:25:52
101,namibe,-15.1961,12.1522,69.01,78,96,5.82,AO,2023-02-08 05:25:52
102,vila velha,-20.3297,-40.2925,77.95,90,40,0.0,BR,2023-02-08 05:21:35
103,jinchang,38.4953,102.1739,30.4,76,100,4.05,CN,2023-02-08 05:25:52
104,phangnga,8.4509,98.5298,87.84,46,23,5.39,TH,2023-02-08 05:25:53
105,kahului,20.8947,-156.47,75.85,79,40,19.57,US,2023-02-08 05:25:53
106,xingyi,24.1877,102.817,67.33,19,0,15.5,CN,2023-02-08 05:25:53
107,matara,5.9485,80.5353,84.51,65,85,7.43,LK,2023-02-08 05:25:53
108,zima,53.9202,102.0442,10.58,88,99,3.67,RU,2023-02-08 05:25:54
109,caravelas,-17.7125,-39.2481,75.63,85,42,6.17,BR,2023-02-08 05:25:54
110,san policarpo,12.1791,125.5072,81.32,71,100,15.64,PH,2023-02-08 05:25:54
111,khatanga,71.9667,102.5,-45.87,100,62,3.22,RU,2023-02-08 05:25:55
112,longyearbyen,78.2186,15.6401,24.64,74,40,14.97,SJ,2023-02-08 05:25:55
113,praia da vitoria,38.7333,-27.0667,55.65,71,100,11.99,PT,2023-02-08 05:25:55
114,pishin,30.5803,66.9961,55.35,26,97,1.97,PK,2023-02-08 05:25:56
115,saint george,37.1041,-113.5841,43.95,56,0,6.91,US,2023-02-08 05:25:00
116,shubarkuduk,49.1447,56.4872,5.56,90,8,13.47,KZ,2023-02-08 05:25:56
117,sitka,57.0531,-135.33,35.49,80,100,3.44,US,2023-02-08 05:25:56
118,saint stephen,50.3333,-4.9,38.21,93,1,9.22,GB,2023-02-08 05:25:57
119,komsomolskiy,40.4272,71.7189,41.72,60,92,2.3,UZ,2023-02-08 05:25:57
120,lumby,50.2498,-118.969,40.77,52,54,6.91,CA,2023-02-08 05:25:57
121,nikolskoye,59.7035,30.7861,30.09,87,100,9.17,RU,2023-02-08 05:25:57
122,launceston,-41.45,147.1667,72.61,53,100,12.66,AU,2023-02-08 05:23:10
123,marihatag,8.7936,126.2969,81.93,70,91,12.28,PH,2023-02-08 05:25:58
124,witu,-2.3889,40.4382,80.76,83,52,4.63,KE,2023-02-08 05:25:58
125,baykit,61.67,96.37,8.37,94,100,2.37,RU,2023-02-08 05:25:58
126,tuktoyaktuk,69.4541,-133.0374,-22.0,76,100,4.61,CA,2023-02-08 05:25:59
127,general roca,-39.0333,-67.5833,70.63,26,1,12.28,AR,2023-02-08 05:25:59
128,hilo,19.7297,-155.09,74.28,91,100,3.44,US,2023-02-08 05:25:59
129,solnechnyy,50.7214,136.6319,-3.01,76,91,6.33,RU,2023-02-08 05:26:00
130,sur,22.5667,59.5289,79.14,43,65,4.12,OM,2023-02-08 05:26:00
131,bengkulu,-3.8004,102.2655,85.28,56,79,10.02,ID,2023-02-08 05:26:00
132,tasiilaq,65.6145,-37.6368,1.56,46,0,18.99,GL,2023-02-08 05:26:00
133,ahipara,-35.1667,173.1667,70.63,63,23,8.12,NZ,2023-02-08 05:23:10
134,berlevag,70.8578,29.0864,32.0,64,75,29.93,NO,2023-02-08 05:26:01
135,snyder,32.7179,-100.9176,43.14,52,100,11.5,US,2023-02-08 05:26:01
136,liberty,31.8335,-81.5004,56.98,92,0,7.0,US,2023-02-08 05:26:01
137,zhangjiakou,40.81,114.8794,31.15,32,34,2.46,CN,2023-02-08 05:26:02
138,luganville,-15.5333,167.1667,82.74,77,100,6.58,VU,2023-02-08 05:26:02
139,jaciara,-15.9653,-54.9683,70.07,94,96,1.43,BR,2023-02-08 05:21:40
140,kiunga,-6.1219,141.2906,82.29,82,81,5.66,PG,2023-02-08 05:26:03
141,derzhavinsk,51.1,66.3167,1.2,98,97,8.5,KZ,2023-02-08 05:26:04
142,bethel,41.3712,-73.414,38.48,83,20,4.61,US,2023-02-08 05:26:04
143,batemans bay,-35.7167,150.1833,71.1,80,100,1.41,AU,2023-02-08 05:26:05
144,severo-kurilsk,50.6789,156.125,23.68,75,25,10.65,RU,2023-02-08 05:26:05
145,ostrovnoy,68.0531,39.5131,28.02,82,11,20.29,RU,2023-02-08 05:26:06
146,airai,-8.9266,125.4092,69.58,81,82,3.94,TL,2023-02-08 05:26:06
147,kaitangata,-46.2817,169.8464,57.9,52,22,14.63,NZ,2023-02-08 05:26:07
148,itoman,26.1247,127.6694,73.78,68,20,16.11,JP,2023-02-08 05:26:07
149,wanning,18.8003,110.3967,77.85,75,35,8.48,CN,2023-02-08 05:26:08
150,matamoros,25.5333,-103.25,64.11,30,66,1.63,MX,2023-02-08 05:24:09
151,hambantota,6.1241,81.1185,86.34,70,20,14.97,LK,2023-02-08 05:26:08
152,dagestanskiye ogni,42.1159,48.192,33.8,72,96,11.34,RU,2023-02-08 05:26:09
153,taoudenni,22.6783,-3.9836,61.2,22,84,11.61,ML,2023-02-08 05:26:10
154,russell,32.3502,-85.1999,61.83,87,0,3.44,US,2023-02-08 05:26:10
155,vicente guerrero,19.1194,-98.1708,55.0,50,0,1.3,MX,2023-02-08 05:26:10
156,upington,-28.4478,21.2561,66.58,82,75,3.44,ZA,2023-02-08 05:26:11
157,marzuq,14.4,46.4667,70.72,35,26,4.97,YE,2023-02-08 05:26:12
158,asau,46.4333,26.4,20.32,96,99,5.12,RO,2023-02-08 05:26:12
159,lagoa,39.05,-27.9833,55.0,61,89,13.27,PT,2023-02-08 05:26:13
160,sao joao da barra,-21.6403,-41.0511,73.87,94,100,3.69,BR,2023-02-08 05:26:13
161,hoogeveen,52.6833,6.5833,29.08,57,56,4.03,NL,2023-02-08 05:26:14
162,tazmalt,36.3868,4.3989,46.74,69,100,2.08,DZ,2023-02-08 05:26:14
163,nanortalik,60.1432,-45.2371,3.6,75,12,14.25,GL,2023-02-08 05:26:15
164,sisimiut,66.9395,-53.6735,-13.41,93,93,8.14,GL,2023-02-08 05:26:15
165,alihe,50.5667,123.7167,13.15,66,28,4.9,CN,2023-02-08 05:26:16
166,allapalli,19.4167,80.0667,87.08,21,14,2.84,IN,2023-02-08 05:26:17
167,bam,29.106,58.357,65.71,38,31,6.89,IR,2023-02-08 05:26:17
168,san pablo,14.0669,121.3258,80.91,57,100,9.35,PH,2023-02-08 05:26:18
169,torbay,47.6666,-52.7314,28.38,86,75,23.02,CA,2023-02-08 05:26:18
170,pevek,69.7008,170.3133,-22.67,98,100,3.83,RU,2023-02-08 05:26:19
171,kisangani,0.5167,25.2,73.26,70,100,2.3,CD,2023-02-08 05:26:19
172,taybad,34.74,60.7756,53.89,54,6,14.7,IR,2023-02-08 05:26:20
173,bangkal,6.0667,121.0667,81.57,71,95,4.79,PH,2023-02-08 05:26:20
174,ilulissat,69.2167,-51.1,-12.98,70,20,8.05,GL,2023-02-08 05:26:21
175,cockburn town,21.4612,-71.1419,77.92,73,1,22.95,TC,2023-02-08 05:26:21
176,gravdal,68.1214,13.5031,40.89,93,75,35.68,NO,2023-02-08 05:26:22
177,ribeira grande,38.5167,-28.7,54.77,64,55,8.99,PT,2023-02-08 05:26:22
178,manta,-0.95,-80.7333,77.0,87,9,6.29,EC,2023-02-08 05:26:23
179,nesoddtangen,59.8655,10.6594,33.91,97,98,2.21,NO,2023-02-08 05:26:23
180,puerto narino,-3.7703,-70.3831,71.8,98,95,0.98,CO,2023-02-08 05:26:24
181,ust-ilimsk,58.0006,102.6619,14.38,92,100,6.13,RU,2023-02-08 05:26:25
182,mbandaka,0.0487,18.2603,70.57,78,43,1.9,CD,2023-02-08 05:26:26
